Subject,Question,Question Image,A,A Image,B,B Image,C,C Image,D,D Image,E,E Image,Right Answer,Column1
Geography," أمامك خريطة سياسية لقارة أمريكا الجنوبية ،  يشير رقم (1) عليها إلى  .....   ",geo 1,  دولة فيدرالية       ,, دولة وحدوية       ,,دولة كونفدرالية ,,  دولة مندمجة ذات بروز,,,,A,A
Geography,  يرجع السبب الرئيس لاعتبار راتزل المؤسس الحقيقي للجغرافيا السياسية إلي ....................................,,  وضعه أول مؤلف علمي عن الجغرافيا السياسية (حمل اسمها الحالي),,‌حدد مدى قوة الدولة أو ضعفها كمركب سياسي في عدد سكانها ومواردها الاقتصادية والعلاقة بينهما,,‌ تناولها في مؤلفة (السياسة) وحدد عناصرها في خمس موضوعات,,‌    ناقش موضوع الحدود السياسية المحصنة وموقع الدولة الجغرافي وتأثير المناخ عليها  ,,,,A,A
Geography,"  للجغرافي دور واضح في حل المشكلات السياسية عبر التاريخ"" ، ومن أمثلة هذا الدور ....................................",,    رسم الحدود السياسية الحديثة في إفريقيا بعد انتهاء الحرب العالمية الأولى,, رسم الحدود السياسية الحديثة في أوربا بعد الحرب العالمية الأولى والثانية,,‌رسم الحدود السياسية بين دول قارة آسيا بعد انتهاء الحرب العالمية الثانية,,     رسم الحدود السياسية بين دول قارة أمريكا الجنوبية بعد الحرب العالمية الأولى والثانية,,,,B,B
Geography,العنصر الرئيس لنظام الحكم فى أى دولة هو ........................,,رئيس الوزراء,,الدستور,,المجالس النيابية ,,الرئيس,,,,B,B
Geography,من أهم سمات الدول المركزية سيطرة ......................,,الحكومة المركزية على المجالس النيابية ,,المجالس النيابية على السلطات المحلية ,,السلطات المحلية على الحكومة المركزية,,الحكومة المركزية على السلطات المحلية,,,,D,D
Geography,    تشير الخريطة المقابلة إلى دولة: .......................,geo 2, اليابان وهي دولة بحرية مجزأة,,    شيلي وهي دولة شريطية,,      اليابان وهي دولة شريطية,,      اليابان وهي دولة برية بحرية مجزأة,,,,A,A
Geography,    يهدف تقسيم الدولة إلى محافظات أو ولايات إلى ...........,,‌سهولة توزيع السكان على أجزاء الدولة ,,‌   تحقيق الأمن والأمان,,‌سهولة حصر عدد السكان,, تحقيق الاستقلال الذاتي,,,,B,B
Geography,   أقل دول قارة آسيا تنوعاً فى الموارد الطبيعية .................,,أفغانستان,,السعودية ,,سنغافورة ,,جزر المالديف ,,,,D,D
Geography,"    يعتقد البعض أن الحدود السياسية والتخوم مفهومين مترادفين ، والسبب فى ذلك .............",,توافر الخرائط الدقيقة.,,حداثة رسم الحدود الخطية.,,توسع الأمم والإمبراطوريات.,,اختفاء الدول القومية.,,,,B,B
Geography,    شهدت بداية القرن التاسع عشر الميلادى تطورًا كبيرًا فى تنظيم العلاقات السياسية الدولية بسبب ............,,إقامة الحدود الخطية ,,توافق الحدود مع التخوم ,,تحرر المستعمرات الأوروبية فى أفريقيا ,,الاعتماد على لجان فض المنازعات فى تقسيم الحدود,,,,A,A
Geography,    من الحدود السياسية التى تقف عائقًا أمام الإنتقال من دولة لاخرى هى الحدود  .................,,الهندسية ,, الجبلية ,,الأثنوغرافية,, البحيرية ,,,,B,B
Geography,    يعد تصفية المستعمر الأوروبى لمستعمراته فى منتصف القرن العشرين سبباً في تغير خريطة قارة ....................,,أوروبا,,أفريقيا ,,أستراليا ,,أمريكا الشمالية ,,,,B,B
Geography,    أى الدول التالية يمكن أن تضمها أثيوبيا فيصبح لها ساحل على البحر الأحمر ...................,,أريتريا ,,الصومال ,,جنوب السودان ,,جزر القمر ,,,,A,A
Geography,     من الناحية العددية يمكن أن تسمى مجموعة بشرية أقلية إذا كان ......,,يقل عدد أفراها عن 50% من السكان.,,عدد أفرادها مساو لعدد سكان الدولة.,,لا يتمتعون بكافة حقوقهم الأساسية.,,يمارس ضدهم نوعًا من التمييز.,,,,A,A
Geography,    ( الأقلية لا يهمش دورها لمجرد قلة عددها أو إنخفاض نسبتها السكانية  ) يتضح ذلك بوضوح فى دولة .................,,الولايات المتحدة الأمريكية ,,العراق ,,سويسرا  ,,جنوب أفريقيا ,,,,D,D
